,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
366,Who is Tessa Thompson in a relationship with?,0,Who is Tessa Thompson in a relationship with?,С кем Тесса Томпсон находится в отношениях?,Avec qui Tessa Thompson est-elle en couple ?,Mit wem ist Tessa Thompson in einer Beziehung?,עם מי טסה תומפסון נמצאת במערכת יחסים?,مع من تواعد تيسا تومبسون؟,泰莎·汤普森正在和谁交往？
367,Which music label represents Keri Hilson?,0,Which music label represents Keri Hilson?,Какой музыкальный лейбл представляет Кери Хилсон?,Quelle maison de disques représente Keri Hilson ?,Welches Musiklabel vertritt Keri Hilson?,איזו חברת תקליטים מייצגת את קֶרי הילסון?,أي شركة إنتاج موسيقي تمثل كيري هيلسون؟,哪家音乐公司代表凯丽·希尔森？
368,Where is Sócrates' place of residence located?,0,Where is Sócrates' place of residence located?,Где находится место жительства Сократа?,Où se trouve le lieu de résidence de Socrate ?,Wo befindet sich der Wohnort von Sokrates?,היכן נמצא מקום מגוריו של סוקרטס?,أين يقع مكان إقامة سقراط؟,苏格拉底的居住地在哪里？
369,Who holds the position of Vice-President of Cuba?,0,Who holds the position of Vice-President of Cuba?,Кто занимает должность вице-президента Кубы?,Qui occupe le poste de vice-président de Cuba ?,Wer bekleidet das Amt des Vizepräsidenten von Kuba?,מי מחזיק בתפקיד סגן נשיא קובה?,من يشغل منصب نائب رئيس كوبا؟,谁担任古巴副总统？
370,Who does Bill Frist work for?,0,Who does Bill Frist work for?,Кем работает Билл Фрист?,Pour qui Bill Frist travaille-t-il ?,Für wen arbeitet Bill Frist?,עבור מי ביל פריסט עובד?,لمن يعمل بيل فريست؟,比尔·弗里斯特为谁工作？
371,"Who is the director of SANY Heavy Industry Co., Ltd?",0,"Who is the director of SANY Heavy Industry Co., Ltd?","Кто является директором компании SANY Heavy Industry Co., Ltd?","Qui est le directeur de SANY Heavy Industry Co., Ltd ?","Wer ist der Direktor von SANY Heavy Industry Co., Ltd?","מיהו המנהל של SANY Heavy Industry Co., Ltd?","من هو مدير شركة SANY Heavy Industry Co., Ltd؟",三一重工股份有限公司的董事是谁？
372,Which music label is ABBA represented by?,0,Which music label is ABBA represented by?,Какой музыкальный лейбл представляет группу ABBA?,Par quel label de musique ABBA est-il représenté ?,Von welchem Musiklabel wird ABBA vertreten?,באיזה לייבל מוזיקה מיוצגת להקת ABBA?,ما هو شركة الإنتاج الموسيقي التي تمثل فرقة ABBA؟,ABBA由哪个音乐厂牌代表？
373,Who is the person at the head of the government of the Province of L'Aquila?,0,Who is the person at the head of the government of the Province of L'Aquila?,"Кто является лицом, стоящим во главе правительства провинции Л’Акуила?",Qui est la personne à la tête du gouvernement de la province de L'Aquila ?,Wer ist die Person an der Spitze der Regierung der Provinz L'Aquila?,מי עומד בראש ממשלת מחוז לאקווילה?,من هو الشخص الذي يرأس حكومة مقاطعة لاكويلا؟,谁是拉奎拉省政府的负责人？
374,Where does Linus Pauling work?,0,Where does Linus Pauling work?,Где работает Лайнус Полинг?,Où travaille Linus Pauling ?,Wo arbeitet Linus Pauling?,איפה לינוס פאולינג עובד?,أين يعمل لينوس باولنغ؟,林纳斯·鲍林在哪里工作？
375,Who is the person at the head of the government of Tarn-et-Garonne?,0,Who is the person at the head of the government of Tarn-et-Garonne?,Кто является главой правительства Тарна и Гаронны?,Qui est la personne à la tête du gouvernement de Tarn-et-Garonne ?,Wer ist die Person an der Spitze der Regierung von Tarn-et-Garonne?,מי עומד בראש הממשל של טארן-א-גארון?,من هو الشخص الذي يرأس حكومة تارن-إي-جارون؟,谁是塔恩-加龙省政府的负责人？
376,Who is the person at the head of the government of Surabaya?,0,Who is the person at the head of the government of Surabaya?,Кто является главой правительства Сурабаи?,Qui est la personne à la tête du gouvernement de Surabaya ?,Wer ist die Person an der Spitze der Regierung von Surabaya?,מי עומד בראש ממשלת סורבאיה?,من هو الشخص الذي يرأس حكومة سورابايا؟,谁是泗水市政府的负责人？
377,Who does Aaron Hunt play with?,0,Who does Aaron Hunt play with?,С кем играет Аарон Хант?,Avec qui Aaron Hunt joue-t-il ?,Mit wem spielt Aaron Hunt?,עם מי אהרון הונט משחק?,مع من يلعب آرون هانت؟,阿隆·亨特和谁一起踢球？
378,What does Jason Davidson play with?,0,What does Jason Davidson play with?,Что играет Джейсон Дэвидсон?,Avec quoi Jason Davidson joue-t-il ?,Womit spielt Jason Davidson?,במה ג'ייסון דיווידסון משחק?,بماذا يلعب جيسون ديفيدسون؟,贾森·戴维森玩什么？
379,With whom is Babur in a relationship?,0,With whom is Babur in a relationship?,С кем Бабур находится в отношениях?,Avec qui Babur est-il en couple ?,Mit wem ist Babur in einer Beziehung?,עם מי באבור נמצא במערכת יחסים?,مع من يرتبط بابور بعلاقة؟,巴布尔和谁有关系？
380,Who is the head coach of Hammarby Fotboll?,0,Who is the head coach of Hammarby Fotboll?,Кто является главным тренером футбольного клуба Хаммарбю?,Qui est l'entraîneur principal de Hammarby Fotboll ?,Wer ist der Cheftrainer von Hammarby Fotboll?,מיהו המאמן הראשי של האמרבי פוטבול?,من هو المدرب الرئيسي لنادي هاماربي فوتبول؟,哈马比足球俱乐部的主教练是谁？
381,Who is the presiding member of Siumut?,0,Who is the presiding member of Siumut?,Кто является председателем Сиумута?,Qui est le membre présidant de Siumut ?,Wer ist das vorsitzende Mitglied von Siumut?,מי הוא החבר היושב ראש של סיומוט?,من هو العضو الذي يترأس حزب سيوموت؟,谁是西尤穆特党的主席成员？
382,Where does Kelly Ayotte work?,0,Where does Kelly Ayotte work?,Где работает Келли Эйотт?,Où travaille Kelly Ayotte ?,Wo arbeitet Kelly Ayotte?,איפה קלי איוט עובדת?,أين تعمل كيلي أيوت؟,凯利·艾约特在哪里工作？
383,Who is the director of Camelot Software Planning?,0,Who is the director of Camelot Software Planning?,Кто является режиссёром Camelot Software Planning?,Qui est le directeur de Camelot Software Planning ?,Wer ist der Direktor von Camelot Software Planning?,מיהו המנהל של Camelot Software Planning?,من هو مدير شركة Camelot Software Planning؟,谁是Camelot Software Planning的主管？
384,Where does Christian Thomasius work?,0,Where does Christian Thomasius work?,Где работает Христиан Томазиус?,Où travaille Christian Thomasius ?,Wo arbeitet Christian Thomasius?,איפה עובד כריסטיאן תומזיוס?,أين يعمل كريستيان تومازيوس؟,克里斯蒂安·托马修斯在哪里工作？
385,What position did François Mitterrand have?,0,What position did François Mitterrand have?,Какую должность занимал Франсуа Миттеран?,Quel poste François Mitterrand occupait-il ?,Welche Position hatte François Mitterrand?,איזה תפקיד היה לפרנסואה מיטראן?,ما هو المنصب الذي شغله فرانسوا ميتران؟,弗朗索瓦·密特朗担任过什么职位？
