,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
286,1,"The premiere of ""The Inspector General"" took place on April 19, 1836, at the Alexandrinsky Theatre in St. Petersburg.","In which theater did the premiere of N.V. Gogol's comedy 'The Government Inspector' take place on April 19, 1836?",Dans quel théâtre a eu lieu la première de la comédie 'Le Revizor' de N.V. Gogol le 19 avril 1836 ?,In welchem Theater fand am 19. April 1836 die Uraufführung von N. W. Gogols Komödie 'Der Revisor' statt?,באיזה תיאטרון התקיימה הבכורה של הקומדיה 'רביזור' מאת נ. ו. גוגול ב-19 באפריל 1836?,في أي مسرح أُقيم العرض الأول لمسرحية الكوميديا 'المفتش العام' للكاتب ن. ف. غوغول في 19 أبريل 1836؟,果戈理的喜剧《钦差大臣》于1836年4月19日首演是在什么剧院？,В каком театре 19 апреля 1836 года состоялась премьера комедии Н.В. Гоголя «Ревизор»?
287,0,Thunder Company is a joint-stock company.,What is the legal organizational form of the company Tander?,Quelle est la forme juridique de l'organisation de l'entreprise Tander ?,Welche Rechtsform hat das Unternehmen Tander?,מהי הצורה המשפטית של הארגון של חברת טנדר?,ما هو الشكل القانوني التنظيمي لشركة تاندر؟,Tander公司的法律组织形式是什么？,Какая организационно-правовая форма компании Тандер?
288,0,Aeroflot is a public joint-stock company.,What is the legal form of the company Aeroflot?,Quelle est la forme juridique de la société Aeroflot ?,Welche Rechtsform hat das Unternehmen Aeroflot?,מהי הצורה המשפטית של חברת אירופלוט?,ما هو الشكل القانوني لشركة إيروفلوت؟,阿芙乐尔航空公司的法律形式是什么？,Какая организационно-правовая форма компании Аэрофлот?
289,1,Google LLC is an American transnational corporation in the Alphabet holding.,What is the parent company of Google?,Quelle est la société mère de Google ?,Was ist die Muttergesellschaft von Google?,מהי חברת האם של גוגל?,ما هي الشركة الأم لجوجل؟,谷歌的母公司是什么？,Какая родительская компания у Google?
290,1,Yuri Bashmet plays the viola.,What does Bashmet play?,Que joue Bashmet ?,Was spielt Bashmet?,על מה מנגן בשמט?,ماذا يعزف باشميت؟,巴什梅特演奏什么？,На чем играет Башмет?
291,1,Squidward plays the clarinet.,What does Squidward play?,De quel instrument joue Carlo ?,Welches Instrument spielt Thaddäus?,על איזה כלי מנגן סקווידוורד?,ما الآلة التي يعزف عليها سكويدوورد؟,章鱼哥弹奏什么乐器？,На чем играет Сквидвард?
292,1,"Ethics and aesthetics occupy an important place among other sciences and are directly related to philosophy and its branches such as ontology, epistemology, axiology, and praxeology.",Which branch of philosophy includes the study of ethics and aesthetics?,Quelle branche de la philosophie inclut l'étude de l'éthique et de l'esthétique ?,Welcher Zweig der Philosophie umfasst das Studium der Ethik und der Ästhetik?,איזו ענף בפילוסופיה כולל את חקר האתיקה והאסתטיקה?,أي فرع من الفلسفة يشمل دراسة الأخلاق والجماليات؟,哲学的哪个分支包括对伦理学和美学的研究？,Какая ветвь философии включает в себя изучение этики и эстетики?
293,1,Vera Dulova played the harp.,Which musical instrument made Vera Dulova famous?,Quel instrument de musique a rendu Vera Dulova célèbre ?,Welches Musikinstrument machte Vera Dulova berühmt?,באיזה כלי נגינה התפרסמה ורה דולובה?,أي آلة موسيقية جعلت فيرا دولوفا مشهورة؟,哪种乐器让维拉·杜洛娃成名？,Какой музыкальный инструмент прославил Веру Дулову?
294,1,Cape Crillon is located on Shikotan Island in the Sakhalin Oblast.,Where should one go to reach the Edge of the World?,Où devrait-on aller pour atteindre le Bord du Monde ?,"Wohin sollte man gehen, um den Rand der Welt zu erreichen?",לאן צריך ללכת כדי להגיע לקצה העולם?,إلى أين يجب أن يذهب المرء ليصل إلى حافة العالم؟,要到哪里才能到达世界的尽头？,"Куда нужно отправиться, чтобы побывать на Краю Света?"
295,1,"Terry Gilliam, a member of Monty Python's Flying Circus, was born in the American state of Minnesota.",Which member of 'Monty Python's Flying Circus' was born in the USA?,Quel membre de 'Monty Python's Flying Circus' est né aux États-Unis ?,Welches Mitglied von 'Monty Python's Flying Circus' wurde in den USA geboren?,איזה חבר ב'Monty Python's Flying Circus' נולד בארצות הברית?,أي عضو في 'Monty Python's Flying Circus' وُلِد في الولايات المتحدة؟,《蒙提·派森的飞行马戏团》的哪位成员出生在美国？,"Кто из участников ""Летающего цирка Монти Пайтона"" родился в США?"
296,0,The head of Oman holds the title of Sultan.,What title does the head of the Arab state of Oman hold?,Quel titre porte le chef de l'État arabe d'Oman ?,Welchen Titel trägt das Staatsoberhaupt des arabischen Staates Oman?,איזה תואר נושא ראש המדינה הערבית עומאן?,ما هو اللقب الذي يحمله رئيس دولة عمان العربية؟,阿曼阿拉伯国家的元首拥有哪个头衔？,Какой титул носит глава арабского государства Оман
297,1,"Jon Snow - according to the plot of the book cycle - is the illegitimate son (bastard) of the Warden of the North, Eddard Stark. However, there are also indirect confirmations in the books, and an explicit confirmation in the series, that Jon's father is Rhaegar Targaryen.",Who is Jon Snow's father?,Qui est le père de Jon Snow ?,Wer ist Jon Snows Vater?,מיהו אביו של ג'ון סנואו?,من هو والد جون سنو؟,琼恩·雪诺的父亲是谁？,Кто отец Джона Сноу?
298,1,Oleg Popov was called the Sunshine Clown.,Who is called the 'sunny clown'?,Qui est appelé le 'clown ensoleillé' ?,Wer wird der 'sonnige Clown' genannt?,מי נקרא 'הליצן השמשי'?,من يُسمى 'المهرج المشمس'؟,谁被称为“阳光小丑”？,"Кого называют ""солнечным клоуном""?"
299,1,"Actor Rupert Grint, who played Ron Weasley, is almost a year older than Daniel Radcliffe, who played Harry Potter. Ron as a character is 5 months older than Harry.","Who is older, Harry Potter or Ron Weasley?","Qui est le plus âgé, Harry Potter ou Ron Weasley ?","Wer ist älter, Harry Potter oder Ron Weasley?","מי מבוגר יותר, הארי פוטר או רון ויזלי?",من الأكبر سنًا، هاري بوتر أم رون ويزلي؟,谁年纪更大，哈利·波特还是罗恩·韦斯莱？,Кто старше Гарри Поттер или Рон Уизли?
300,1,"Bamako, the capital of Mali, is located on the banks of the Niger River.",On which river is Bamako located?,Sur quel fleuve est située Bamako ?,An welchem Fluss liegt Bamako?,על איזה נהר נמצאת במקו?,على أي نهر تقع باماكو؟,巴马科位于哪条河上？,На какой реке стоит Бамако?
301,1,"The ""Fantastic Symphony"" with the dedication: ""To His Majesty Nicholas I, Emperor of All Russia"" was written by the composer Berlioz.","Who composed the 'Fantastic Symphony' with the dedication: 'To His Majesty Nicholas I, Emperor of All Russia'?","Qui a composé la 'Symphonie fantastique' avec la dédicace : 'À Sa Majesté Nicolas Ier, Empereur de toute la Russie' ?","Wer komponierte die 'Fantastische Symphonie' mit der Widmung: 'Seiner Majestät Nikolaus I., Kaiser von ganz Russland'?","מי הלחין את 'הסימפוניה הפנטסטית' עם ההקדשה: 'לכבוד הוד מעלתו ניקולאי הראשון, קיסר כל רוסיה'?",من ألّف 'السيمفونية الرائعة' مع الإهداء: 'إلى جلالة الإمبراطور نيقولا الأول، إمبراطور كل روسيا'؟,谁创作了《幻想交响曲》，并题献：“献给全俄罗斯皇帝尼古拉一世陛下”？,"Кто написал «Фантастическую симфонию» с посвящением: «Его Величеству Николаю I, императору Всероссийскому»?"
302,1,Meteorology is the science that studies the composition and structure of the atmosphere.,Which science studies the atmosphere and its composition?,Quelle science étudie l'atmosphère et sa composition ?,Welche Wissenschaft untersucht die Atmosphäre und ihre Zusammensetzung?,איזו מדע חוקרת את האטמוספירה והרכבה?,ما هو العلم الذي يدرس الغلاف الجوي وتركيبه؟,哪门科学研究大气及其成分？,Какая наука изучает атмосферу и её состав?
303,1,Niels Bohr was a goalkeeper.,What was the football position of the famous physicist Niels Bohr?,Quel était le poste de football du célèbre physicien Niels Bohr ?,Welche Fußballposition hatte der berühmte Physiker Niels Bohr?,מה הייתה עמדת הכדורגל של הפיזיקאי המפורסם נילס בוהר?,ما كان مركز كرة القدم للعالم الفيزيائي الشهير نيلز بور؟,著名物理学家尼尔斯·玻尔踢的是哪个足球位置？,Кем был по футбольному амплуа известный физик Нильс Бор?
304,1,Phaethon was the son of the sun god Helios and the Oceanid Clymene.,Who was the son of the sun god Helios and the Oceanid Clymene?,Qui était le fils du dieu du soleil Hélios et de l’Océanide Clymène ?,Wer war der Sohn des Sonnengottes Helios und der Okeanide Klymene?,מי היה בנו של אל השמש הליוס והאוקייניד קלימנה?,من كان ابن إله الشمس هيليوس والأوشانيد كليميني؟,谁是太阳神赫利俄斯和海洋女神克吕墨涅的儿子？,Кто был сыном бога солнца Гелиоса и океаниды Климены?
